record_id,source_file,source_sha256,source_model_family,ifc_schema,ifc_global_id,name,long_name,normalized_text,silver_label,label_rule,label_provenance,independent_ground_truth,review_status
02e0639b204d043d,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqbH5,1AC1,CENTRAL WAITING,1ac1 central waiting,assembly,waiting,codex_assisted_rule_seeded_silver,false,requires_project_author_review
ac98b7ad355d0c82,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcY9,1DC1,WAITING / ACTIVITY AREA,1dc1 waiting / activity area,assembly,waiting,codex_assisted_rule_seeded_silver,false,requires_project_author_review
8138cd962aba532b,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0_IXpwL5b29BZ7C0XgKBsS,2R02,ROOF,2r02 roof,service_storage,roof,codex_assisted_rule_seeded_silver,false,requires_project_author_review
988f1132853b2d68,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcQh,1EC1,CORRIDOR,1ec1 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
f25a5566a0a811b4,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0_IXpwL5b29BZ7C0XgKBd3,3R01,ROOF,3r01 roof,service_storage,roof,codex_assisted_rule_seeded_silver,false,requires_project_author_review
acf15bec87fbb00d,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHXo,2D05,MAIN MECHANICAL ROOM,2d05 main mechanical room,service_storage,mechanical,codex_assisted_rule_seeded_silver,false,requires_project_author_review
8b93564081735700,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0uLn6BSvvEB8kgChiujNr0,2AC3,CORRIDOR,2ac3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
c513c1ff9b1dcb90,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcOk,1BC2,CORRIDOR,1bc2 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
b63ee9d8fff9eaf4,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHXA,2D18,TECH. OFFICE,2d18 tech office,workplace,office,codex_assisted_rule_seeded_silver,false,requires_project_author_review
e6872a9700de630b,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcqu,1CC1,CORRIDOR,1cc1 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
371dca98ac100a65,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqdhw,1A16,PHARM. DISP.,1a16 pharm disp,clinical,pharm,codex_assisted_rule_seeded_silver,false,requires_project_author_review
58f028fe579d5029,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcaZ,1DC3,CORRIDOR,1dc3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
73f34357a2f79a4f,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqc04,1C18,PHYSICAL EXAM,1c18 physical exam,clinical,exam,codex_assisted_rule_seeded_silver,false,requires_project_author_review
6cb0369f2a1d5baa,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcV7,1B04,LAB,1b04 lab,clinical,lab,codex_assisted_rule_seeded_silver,false,requires_project_author_review
096a9185478c47d1,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcOe,1BC4,CORRIDOR,1bc4 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
d4148283cc098776,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupMRn,2BC3,CORRIDOR,2bc3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
fc6a854ef6d6bf16,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupMRt,2BC5,CORRIDOR,2bc5 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
d4fc1f0341639ba4,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqc7Y,1E24,RECEIVING / STORAGE,1e24 receiving / storage,service_storage,storage,codex_assisted_rule_seeded_silver,false,requires_project_author_review
eb1358b009d3f651,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,1KgZQG_2r6VuMR28$3QMLM,2AC1,CORRIDOR,2ac1 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
cd61331a87c490e8,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcqk,1CC3,CORRIDOR,1cc3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
e51f5ca85c1f9e29,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqcAu,1D16,PROVIDER CUBICLES,1d16 provider cubicles,workplace,cubicle,codex_assisted_rule_seeded_silver,false,requires_project_author_review
520e997e4f6d0146,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqc1b,1DC7,CORRIDOR,1dc7 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
099a484c21d9755c,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupMRy,2BC2,CORRIDOR,2bc2 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
0a3f25a872b647f7,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0uLn6BSvvEB8kgChiujNHe,2A11,DENTAL WAITING,2a11 dental waiting,clinical,dental,codex_assisted_rule_seeded_silver,false,requires_project_author_review
dc5b3a55c59a7688,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHdk,2CC3,CORRIDOR,2cc3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
ccd55402419d2019,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqchj,1AC5,CORRIDOR,1ac5 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
47ac281329b703e1,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupMO2,2DC2,CORRIDOR,2dc2 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
0b4972fbd5855da3,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqchZ,1AC3,CORRIDOR,1ac3 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
c4fd62a1a405884e,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqc9V,1D25,PROVIDER CUBICLES,1d25 provider cubicles,workplace,cubicle,codex_assisted_rule_seeded_silver,false,requires_project_author_review
d96f97ddabc8986a,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ztdC3L1HAzhbhMHypqc1c,1DC6,CORRIDOR,1dc6 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
dadc2eb41aa25767,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHcN,2CC2,CORRIDOR,2cc2 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
81a2493fdf3b348e,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHsC,2C17,PROSTH. LAB,2c17 prosth lab,clinical,lab,codex_assisted_rule_seeded_silver,false,requires_project_author_review
5cfb8830e350782c,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0uLn6BSvvEB8kgChiujNGP,2AC4,CORRIDOR,2ac4 corridor,circulation,corridor,codex_assisted_rule_seeded_silver,false,requires_project_author_review
0c4b87021b7d7296,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupMRO,2B3,CONF. / GROUP THERAPY,2b3 conf / group therapy,assembly,group therapy,codex_assisted_rule_seeded_silver,false,requires_project_author_review
385977b6f4e0f8e4,official_Clinic_Architectural.ifc,2ac970ce065ecac4e0c9e5f453a257169e90d0067f419b7e33533a64ef837880,clinic,IFC2X3,0ClPCUC7jCQRnj1dhupHsk,2C07,M. STAFF TOILET,2c07 m staff toilet,sanitary,toilet,codex_assisted_rule_seeded_silver,false,requires_project_author_review
